,precision,recall,f1-score,support
I-HOTEL#PRICES#POSITIVE,0.0,0.0,0.0,2.0
I-HOTEL#QUALITY#NEGATIVE,0.0,0.0,0.0,3.0
I-HOTEL#QUALITY#POSITIVE,0.0,0.0,0.0,1.0
I-LOCATION#COMFORT#NEGATIVE,0.0,0.0,0.0,4.0
I-LOCATION#COMFORT#NEUTRAL,0.0,0.0,0.0,2.0
I-LOCATION#GENERAL#POSITIVE,0.7647058823529411,0.4642857142857143,0.5777777777777777,28.0
I-ROOMS#CLEANLINESS#NEGATIVE,0.0,0.0,0.0,1.0
I-ROOMS#CLEANLINESS#POSITIVE,0.2222222222222222,0.25,0.23529411764705882,8.0
I-ROOMS#COMFORT#NEGATIVE,0.0,0.0,0.0,3.0
I-ROOMS#COMFORT#POSITIVE,0.25,0.25,0.25,4.0
I-ROOMS#DESIGN&FEATURES#NEGATIVE,0.2,0.07692307692307693,0.1111111111111111,13.0
I-ROOMS#DESIGN&FEATURES#POSITIVE,1.0,0.05555555555555555,0.10526315789473684,18.0
I-ROOMS#GENERAL#NEGATIVE,0.0,0.0,0.0,1.0
I-ROOMS#GENERAL#POSITIVE,0.0,0.0,0.0,4.0
I-ROOMS#PRICES#NEGATIVE,0.0,0.0,0.0,0.0
I-ROOMS#PRICES#POSITIVE,0.3333333333333333,0.2,0.25,5.0
I-ROOM_AMENITIES#CLEANLINESS#NEGATIVE,0.0,0.0,0.0,3.0
I-ROOM_AMENITIES#CLEANLINESS#POSITIVE,0.3333333333333333,0.4,0.3636363636363636,5.0
I-ROOM_AMENITIES#COMFORT#NEGATIVE,0.0,0.0,0.0,6.0
I-ROOM_AMENITIES#COMFORT#POSITIVE,0.5,0.4,0.4444444444444445,5.0
I-ROOM_AMENITIES#DESIGN&FEATURES#NEGATIVE,0.3333333333333333,0.2692307692307692,0.2978723404255319,26.0
I-ROOM_AMENITIES#DESIGN&FEATURES#POSITIVE,0.0,0.0,0.0,22.0
I-ROOM_AMENITIES#GENERAL#NEGATIVE,0.0,0.0,0.0,0.0
I-ROOM_AMENITIES#GENERAL#POSITIVE,0.0,0.0,0.0,3.0
I-ROOM_AMENITIES#PRICES#POSITIVE,0.0,0.0,0.0,1.0
I-ROOM_AMENITIES#QUALITY#NEGATIVE,0.4444444444444444,0.17391304347826086,0.25,23.0
I-ROOM_AMENITIES#QUALITY#POSITIVE,0.0,0.0,0.0,2.0
I-ROOM_AMENITIES#STYLE&OPTIONS#NEGATIVE,0.3333333333333333,0.05,0.08695652173913045,20.0
I-ROOM_AMENITIES#STYLE&OPTIONS#POSITIVE,0.0,0.0,0.0,5.0
I-SERVICE#CLEANLINESS#NEGATIVE,0.0,0.0,0.0,1.0
I-SERVICE#COMFORT#NEGATIVE,0.0,0.0,0.0,0.0
I-SERVICE#COMFORT#POSITIVE,0.0,0.0,0.0,7.0
I-SERVICE#DESIGN&FEATURES#POSITIVE,0.0,0.0,0.0,4.0
I-SERVICE#GENERAL#NEGATIVE,0.5,0.23529411764705882,0.31999999999999995,34.0
I-SERVICE#GENERAL#POSITIVE,0.6119402985074627,0.5942028985507246,0.6029411764705882,138.0
I-SERVICE#MISCELLANEOUS#NEGATIVE,0.0,0.0,0.0,1.0
I-SERVICE#PRICES#NEGATIVE,0.0,0.0,0.0,6.0
I-SERVICE#PRICES#POSITIVE,0.0,0.0,0.0,5.0
I-SERVICE#QUALITY#NEGATIVE,0.0,0.0,0.0,3.0
I-SERVICE#QUALITY#POSITIVE,0.0,0.0,0.0,2.0
I-SERVICE#STYLE&OPTIONS#NEGATIVE,0.21428571428571427,0.2727272727272727,0.23999999999999996,11.0
I-SERVICE#STYLE&OPTIONS#POSITIVE,0.0,0.0,0.0,15.0
O,0.9112953111468514,0.9752416258440355,0.9421847019698132,7553.0
accuracy,0.8590303676078849,0.8590303676078849,0.8590303676078849,0.8590303676078849
macro avg,0.20295125521301638,0.13836951112484372,0.151144296140141,9385.0
weighted avg,0.8270812915424449,0.8590303676078849,0.8363234531914372,9385.0
